country,Date,number of confirmed cases,"
dead",recoverer,"
Day-on-day increase"
South Korea,2020-01-21,1,0,0,
South Korea,2020-01-22,1,0,0,0
South Korea,2020-01-23,2,0,0,1
South Korea,2020-01-24,2,0,0,0
South Korea,2020-01-25,3,0,0,1
South Korea,2020-01-26,4,0,0,1
South Korea,2020-01-27,4,0,0,0
South Korea,2020-01-28,4,0,0,0
South Korea,2020-01-29,4,0,0,0
South Korea,2020-01-30,11,0,0,7
South Korea,2020-01-31,12,0,0,1
South Korea,2020-02-01,15,0,0,3
South Korea,2020-02-02,15,0,0,0
South Korea,2020-02-03,16,0,0,1
South Korea,2020-02-04,19,0,0,3
South Korea,2020-02-05,23,0,0,4
South Korea,2020-02-06,24,0,1,1
South Korea,2020-02-07,24,0,1,0
South Korea,2020-02-08,25,0,3,1
South Korea,2020-02-09,27,0,3,2
South Korea,2020-02-10,28,0,3,1
South Korea,2020-02-11,28,0,7,0
South Korea,2020-02-12,28,0,7,0
South Korea,2020-02-13,28,0,7,0
South Korea,2020-02-14,28,0,9,0
South Korea,2020-02-15,29,0,9,1
South Korea,2020-02-16,30,0,10,1
South Korea,2020-02-17,31,0,12,1
South Korea,2020-02-18,31,0,12,0
South Korea,2020-02-19,104,1,16,73
South Korea,2020-02-20,204,2,16,100
South Korea,2020-02-21,433,2,16,229
South Korea,2020-02-22,602,6,18,169
South Korea,2020-02-23,833,8,18,231
South Korea,2020-02-24,977,10,22,144
South Korea,2020-02-25,1261,12,22,284
South Korea,2020-02-26,1766,13,22,505
South Korea,2020-02-27,2337,13,22,571
South Korea,2020-02-28,3150,16,27,813
South Korea,2020-02-29,3736,17,30,586
South Korea,2020-03-01,4335,28,30,599
South Korea,2020-03-02,5186,28,30,851
South Korea,2020-03-03,5621,35,41,435
South Korea,2020-03-04,6088,35,41,467
South Korea,2020-03-05,6593,42,135,505
South Korea,2020-03-06,7041,44,135,448
South Korea,2020-03-07,7314,50,118,273
South Korea,2020-03-08,7478,53,118,164
South Korea,2020-03-09,7513,54,247,35
South Korea,2020-03-10,7755,60,288,242
South Korea,2020-03-11,7869,66,333,114
South Korea,2020-03-12,7979,66,510,110
South Korea,2020-03-13,8086,72,510,107
South Korea,2020-03-14,8162,75,510,76
South Korea,2020-03-15,8236,75,1137,74
South Korea,2020-03-16,8320,81,1407,84
South Korea,2020-03-17,8413,84,1540,93
South Korea,2020-03-18,8565,91,1540,152
South Korea,2020-03-19,8652,94,1540,87
South Korea,2020-03-20,8799,102,1540,147
South Korea,2020-03-21,8897,104,2909,98
South Korea,2020-03-22,8961,111,3166,64
South Korea,2020-03-23,9037,120,3507,76
South Korea,2020-03-24,9137,126,3730,100
South Korea,2020-03-25,9241,131,4144,104
South Korea,2020-03-26,9332,139,4528,91
South Korea,2020-03-27,9478,144,4811,146
South Korea,2020-03-28,9583,152,5033,105
South Korea,2020-03-29,9661,158,5228,78
South Korea,2020-03-30,9786,162,5408,125
South Korea,2020-03-31,9887,165,5567,101
South Korea,2020-04-01,9976,169,5828,89
South Korea,2020-04-02,10062,174,6021,86
South Korea,2020-04-03,10156,177,6325,94
South Korea,2020-04-04,10237,183,6463,81
South Korea,2020-04-05,10284,186,6598,47
South Korea,2020-04-06,10331,192,6694,47
South Korea,2020-04-07,10384,200,6776,53
South Korea,2020-04-08,10423,204,6973,39
South Korea,2020-04-09,10450,208,7117,27
South Korea,2020-04-10,10480,211,7243,30
South Korea,2020-04-11,10512,214,7368,32
South Korea,2020-04-12,10537,217,7447,25
South Korea,2020-04-13,10564,222,7534,27
South Korea,2020-04-14,10591,225,7616,27
South Korea,2020-04-15,10613,229,7757,22
South Korea,2020-04-16,10635,230,7829,22
South Korea,2020-04-17,10653,232,7937,18
South Korea,2020-04-18,10661,234,8042,8
South Korea,2020-04-19,10674,236,8114,13
South Korea,2020-04-20,10683,237,8213,9
South Korea,2020-04-21,10694,238,8277,11
South Korea,2020-04-23,10708,240,8501,14
South Korea,2020-04-24,10718,240,8635,10
South Korea,2020-04-25,10728,242,8717,10
South Korea,2020-04-26,10738,243,8764,10
South Korea,2020-04-27,10752,244,8854,14
South Korea,2020-04-28,10761,246,8922,9
South Korea,2020-04-29,10765,247,9059,4
South Korea,2020-04-30,10774,248,9072,9
South Korea,2020-05-01,10780,250,9123,6
South Korea,2020-05-02,10793,250,9183,13
South Korea,2020-05-03,10801,252,9217,8
South Korea,2020-05-04,10804,254,9283,3
South Korea,2020-05-05,10806,255,9333,2
South Korea,2020-05-06,10810,256,9419,4
South Korea,2020-05-07,10822,256,9484,12
South Korea,2020-05-08,10840,256,9568,18
South Korea,2020-05-09,10874,256,9610,34
South Korea,2020-05-10,10909,256,9632,35
South Korea,2020-05-11,10936,258,9670,27
South Korea,2020-05-12,10962,259,9695,26
South Korea,2020-05-13,10991,260,9762,29
South Korea,2020-05-14,11018,260,9821,27
South Korea,2020-05-15,11037,262,9851,19
South Korea,2020-05-16,11050,262,9888,13
South Korea,2020-05-17,11065,263,9904,15
South Korea,2020-05-18,11078,263,9938,13
South Korea,2020-05-19,11110,263,10066,32
South Korea,2020-05-20,11122,264,10135,12
South Korea,2020-05-21,11142,264,10162,20
South Korea,2020-05-22,11165,266,10194,23
South Korea,2020-05-23,11190,266,10213,25
South Korea,2020-05-24,11206,267,10226,16
South Korea,2020-05-25,11225,269,10275,19
South Korea,2020-05-26,11265,269,10295,40
South Korea,2020-05-27,11344,269,10340,79
South Korea,2020-05-28,11402,269,10363,58
South Korea,2020-05-29,11441,269,10398,39
South Korea,2020-05-30,11468,270,10405,27
South Korea,2020-05-31,11503,271,10422,35
South Korea,2020-06-01,11541,272,10446,38
South Korea,2020-06-02,11590,273,10467,49
South Korea,2020-06-03,11629,273,10499,39
South Korea,2020-06-04,11668,273,10506,39
South Korea,2020-06-05,11719,273,10531,51
South Korea,2020-06-06,11776,273,10552,57
South Korea,2020-06-07,11814,273,10563,38
South Korea,2020-06-08,11852,274,10589,38
South Korea,2020-06-09,11902,276,10611,50
South Korea,2020-06-10,11947,276,10654,45
South Korea,2020-06-11,12003,277,10669,56
South Korea,2020-06-12,12051,277,10691,48
South Korea,2020-06-13,12085,277,10718,34
South Korea,2020-06-14,12121,277,10730,36
South Korea,2020-06-15,12155,278,10760,34
South Korea,2020-06-16,12198,279,10774,43
South Korea,2020-06-17,12257,280,10800,59
South Korea,2020-06-18,12306,280,10835,49
South Korea,2020-06-19,12373,280,10856,67
South Korea,2020-06-20,12421,280,10868,48
South Korea,2020-06-21,12438,280,10881,17
South Korea,2020-06-22,12484,281,10908,46
South Korea,2020-06-23,12535,281,10930,51
South Korea,2020-06-24,12563,282,10974,28
South Korea,2020-06-25,12602,282,11172,39
South Korea,2020-06-26,12653,282,11317,51
South Korea,2020-06-27,12715,282,11364,62
South Korea,2020-06-28,12757,282,11429,42
South Korea,2020-06-29,12800,282,11537,43
South Korea,2020-06-30,12850,282,11613,50
South Korea,2020-07-01,12904,282,11684,54
South Korea,2020-07-02,12967,282,11759,63
South Korea,2020-07-03,13030,283,11811,63
South Korea,2020-07-04,13091,283,11832,61
South Korea,2020-07-05,13137,284,11848,46
South Korea,2020-07-06,13181,285,11914,44
South Korea,2020-07-07,13244,285,11970,63
South Korea,2020-07-08,13293,287,12019,49
South Korea,2020-07-09,13338,288,12065,45
South Korea,2020-07-10,13373,288,12144,35
South Korea,2020-07-11,13417,289,12178,44
South Korea,2020-07-12,13479,289,12204,62
South Korea,2020-07-13,13512,289,12282,33
South Korea,2020-07-14,13551,289,12348,39
South Korea,2020-07-15,13612,291,12396,61
South Korea,2020-07-16,13672,293,12460,60
South Korea,2020-07-17,13711,294,12519,39
South Korea,2020-07-18,13745,295,12556,34
South Korea,2020-07-19,13771,296,12572,26
South Korea,2020-07-20,13816,296,12643,45
South Korea,2020-07-21,13879,297,12698,63
South Korea,2020-07-22,13938,297,12758,59
South Korea,2020-07-23,13979,298,12817,41
South Korea,2020-07-24,14092,298,12866,113
South Korea,2020-07-25,14150,298,12890,58
South Korea,2020-07-26,14175,299,12905,25
South Korea,2020-07-27,14203,300,13007,28
South Korea,2020-07-28,14251,300,13069,48
South Korea,2020-07-29,14269,300,13132,18
South Korea,2020-07-30,14305,301,13183,36
South Korea,2020-07-31,14336,301,13233,31
South Korea,2020-08-01,14366,301,13259,30
South Korea,2020-08-02,14389,301,13280,23
South Korea,2020-08-03,14423,301,13352,34
South Korea,2020-08-04,14456,302,13406,33
South Korea,2020-08-05,14499,302,13501,43
South Korea,2020-08-06,14519,303,13543,20
South Korea,2020-08-07,14562,304,13629,43
South Korea,2020-08-08,14598,305,13642,36
South Korea,2020-08-09,14626,305,13658,28
South Korea,2020-08-10,14660,305,13729,34
South Korea,2020-08-11,14714,305,13786,54
South Korea,2020-08-12,14770,305,13817,56
South Korea,2020-08-13,14873,305,13863,103
South Korea,2020-08-14,15039,305,13901,166
South Korea,2020-08-15,15318,305,13910,279
South Korea,2020-08-16,15515,,13917,197
